web_scraper_order,web_scraper_start_url,price_raw,distance_skilift_raw,distance_centre_raw,size_raw
"1763925941-17","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 431","150 m vom Skilift entfernt","Zentrum: 1 km","Apartment mit Blick auf die Berge"
"1763925941-18","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 206","100 m vom Skilift entfernt","Zentrum: 0,7 km","Apartment mit 1 Schlafzimmer"
"1763925941-19","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 313","950 m vom Skilift entfernt","Zentrum: 200 m","Apartment mit 1 Schlafzimmer"
"1763925941-20","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 6.106","750 m vom Skilift entfernt","Zentrum: 350 m","Apartment mit Balkon"
"1763925941-21","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 416","50 m vom Skilift entfernt","Zentrum: 0,8 km","Apartment mit Blick auf die Berge"
"1763925941-22","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 481","250 m vom Skilift entfernt","Zentrum: 1,3 km","Apartment mit 2 Schlafzimmern und Bergblick"
"1763925941-23","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 300","300 m vom Skilift entfernt","Zentrum: 3,3 km","Chalet mit 2 Schlafzimmern"
"1763925941-24","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 3.916","150 m vom Skilift entfernt","Zentrum: 0,8 km","Apartment mit 1 Schlafzimmer"
"1763925941-25","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 771","40 m vom Skilift entfernt","Zentrum: 0,8 km","Apartment mit 2 Schlafzimmern"
"1763925941-26","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 481","650 m vom Skilift entfernt","Zentrum: 150 m","Apartment mit 2 Schlafzimmern mit Balkon und Terrasse"
"1763925941-27","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 766","150 m vom Skilift entfernt","Zentrum: 0,8 km","Apartment mit 5 Schlafzimmern"
"1763925941-28","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 446","850 m vom Skilift entfernt","Zentrum: 3,7 km","Apartment mit 3 Schlafzimmern"
"1763925941-29","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 736","700 m vom Skilift entfernt","Zentrum: 450 m","Apartment mit Blick auf die Berge"
"1763925941-30","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 5.006","350 m vom Skilift entfernt","Zentrum: 1,6 km","Apartment mit 3 Schlafzimmern und Balkon"
"1763925941-31","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 3.651","950 m vom Skilift entfernt","Zentrum: 200 m","Apartment mit 1 Schlafzimmer"
"1763925941-32","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 4.056","950 m vom Skilift entfernt","Zentrum: 3,8 km","Apartment mit 2 Schlafzimmern und Bergblick"
"1763925941-33","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 3.506","350 m vom Skilift entfernt","Zentrum: 1,3 km","Apartment mit 1 Schlafzimmer"
"1763925941-34","https://www.booking.com/searchresults.de.html?label=de-ch-booking-desktop-AwtDBrnbKfbY5w*nVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&aid=2311236&ss=Davos&ssne=Davos&ssne_untouched=Davos&lang=de&src=searchresults&dest_id=-2551753&dest_type=city&checkin=2025-11-28&checkout=2025-11-29&ltfd=5%3A1%3A11-2025_12-2025_1-2026%3A1%3A&group_adults=1&no_rooms=1&group_children=0&nflt=ht_id%3D1200","CHF 1.406","1,4 km vom Skilift entfernt","Zentrum: 2 km","Chalet mit 2 Schlafzimmern"
